CO2,b-1,b-2,b-3
-0.003218473,0.008667491,0.000780683,0.005470893
-0.004271193,-0.003218473,0.008667491,0.000780683
0.002683898,-0.004271193,-0.003218473,0.008667491
0.004293732,0.002683898,-0.004271193,-0.003218473
0.000429882,0.004293732,0.002683898,-0.004271193
-0.00392978,0.000429882,0.004293732,0.002683898
-0.000682385,-0.00392978,0.000429882,0.004293732
0.006122113,-0.000682385,-0.00392978,0.000429882
0.003908353,0.006122113,-0.000682385,-0.00392978
0.007141303,0.003908353,0.006122113,-0.000682385
0.000570957,0.007141303,0.003908353,0.006122113
-0.004071529,0.000570957,0.007141303,0.003908353
-0.001401439,-0.004071529,0.000570957,0.007141303
-0.000713333,-0.001401439,-0.004071529,0.000570957
0.001295779,-0.000713333,-0.001401439,-0.004071529
0.005153161,0.001295779,-0.000713333,-0.001401439
-6.94E-05,0.005153161,0.001295779,-0.000713333
-0.001896641,-6.93845E-05,0.005153161,0.001295779
0.00064114,-0.001896641,-6.93845E-05,0.005153161
0.005982708,0.00064114,-0.001896641,-6.93845E-05
-0.005555769,0.005982708,0.00064114,-0.001896641
0.004691684,-0.005555769,0.005982708,0.00064114
0.001213527,0.004691684,-0.005555769,0.005982708
0.000836165,0.001213527,0.004691684,-0.005555769
0.002973955,0.000836165,0.001213527,0.004691684
0.007642105,0.002973955,0.000836165,0.001213527
0.00568811,0.007642105,0.002973955,0.000836165
0.002428283,0.00568811,0.007642105,0.002973955
-0.001888269,0.002428283,0.00568811,0.007642105
0.00073111,-0.001888269,0.002428283,0.00568811
6.03E-05,0.00073111,-0.001888269,0.002428283
0.004707034,6.02537E-05,0.00073111,-0.001888269
-0.005539523,0.004707034,6.02537E-05,0.00073111
0.013665898,-0.005539523,0.004707034,6.02537E-05
-0.000542836,0.013665898,-0.005539523,0.004707034
-0.002678452,-0.000542836,0.013665898,-0.005539523
0.000887755,-0.002678452,-0.000542836,0.013665898
-0.006022435,0.000887755,-0.002678452,-0.000542836
-0.002122123,-0.006022435,0.000887755,-0.002678452
-0.00646257,-0.002122123,-0.006022435,0.000887755
-0.002284176,-0.00646257,-0.002122123,-0.006022435
0.008975681,-0.002284176,-0.00646257,-0.002122123
-0.0011796,0.008975681,-0.002284176,-0.00646257
0.007334191,-0.0011796,0.008975681,-0.002284176
-0.011253491,0.007334191,-0.0011796,0.008975681
0.004848686,-0.011253491,0.007334191,-0.0011796
0.001676074,0.004848686,-0.011253491,0.007334191
0.004914761,0.001676074,0.004848686,-0.011253491
-0.001762154,0.004914761,0.001676074,0.004848686
0.001376308,-0.001762154,0.004914761,0.001676074
0.009262372,0.001376308,-0.001762154,0.004914761
0.001295193,0.009262372,0.001376308,-0.001762154
-0.000118264,0.001295193,0.009262372,0.001376308
0.006357467,-0.000118264,0.001295193,0.009262372
-0.000279137,0.006357467,-0.000118264,0.001295193
-0.000345344,-0.000279137,0.006357467,-0.000118264
0.002065432,-0.000345344,-0.000279137,0.006357467
-0.00591946,0.002065432,-0.000345344,-0.000279137
-0.00043535,-0.00591946,0.002065432,-0.000345344
-0.006141853,-0.00043535,-0.00591946,0.002065432
-0.013904569,-0.006141853,-0.00043535,-0.00591946
-0.001227779,-0.013904569,-0.006141853,-0.00043535
-0.006825192,-0.001227779,-0.013904569,-0.006141853
-0.009013456,-0.006825192,-0.001227779,-0.013904569
0.000567028,-0.009013456,-0.006825192,-0.001227779
0.001079806,0.000567028,-0.009013456,-0.006825192
0.002425031,0.001079806,0.000567028,-0.009013456
0.011279257,0.002425031,0.001079806,0.000567028
-0.002331811,0.011279257,0.002425031,0.001079806
-0.008532139,-0.002331811,0.011279257,0.002425031
